,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
0,600157,永泰能源,10.23,2.37,0.22,2.22,2.37,2.22,2.15,14.42,4.06,1.81,6.98,2249762.0,713703.0,1536059.0,518628128.0,124.26,煤炭开采,山西,124.26,294.49,294.49,2.31,10.55,4298.0,0.0004,6.76,-29.46,-29.46
1,300256,星星科技,10.11,5.12,0.47,4.9,5.12,4.8,4.65,52.18,1.01,3.07,6.88,182239.0,116854.0,65385.0,91931872.0,9.73,元器件,浙江,5.94,30.41,49.83,5.04,10.42,1189.0,0.0026,6.67,18.24,-24.82
2,300107,建新股份,10.05,12.16,1.11,10.89,12.16,10.86,11.05,14.59,1.63,18.98,11.76,621544.0,286992.0,334551.0,729044800.0,5.47,化工原料,河北,3.28,39.83,66.48,11.73,10.36,4025.0,0.0047,11.97,28.68,121.9
3,000014,沙河股份,10.03,12.94,1.18,12.35,12.94,12.13,11.76,207.69,2.87,8.69,6.89,175376.0,98298.0,77078.0,221977664.0,2.02,全国地产,深圳,2.02,26.1,26.1,12.66,10.34,1006.0,0.0086,6.68,19.7,2.37
4,000673,当代东方,10.02,18.88,1.72,17.19,18.88,17.19,17.16,40.13,2.61,3.65,9.85,152467.0,62961.0,89505.0,280093376.0,7.92,影视音像,山西,4.17,78.77,149.44,18.37,10.33,2384.0,0.0015,9.83,42.49,66.64
5,603633,徕木股份,10.02,20.31,1.85,19.0,20.31,18.83,18.46,60.4,3.96,11.34,8.02,94137.0,47556.0,46580.0,187851168.0,1.2,元器件,上海,0.83,16.86,24.44,19.96,10.34,1200.0,0.0094,7.86,27.5,5.89
6,603348,文灿股份,10.02,32.18,2.93,32.18,32.18,32.18,29.25,42.38,7.83,0.68,0.0,3759.0,3441.0,317.0,12095658.0,2.2,汽车配件,广东,0.55,17.7,70.8,32.18,10.33,319.0,0.0021,0.0,75.75,75.75
7,002889,东方嘉盛,10.02,33.28,3.03,33.28,33.28,33.02,30.25,20.87,3.07,22.64,0.86,78186.0,64026.0,14159.0,260191936.0,1.38,仓储物流,深圳,0.35,11.49,45.96,33.28,10.33,901.0,0.0251,0.79,30.61,11.57
8,002827,高争民爆,10.01,18.46,1.68,16.87,18.46,16.54,16.78,213.15,1.67,9.44,11.44,59594.0,39775.0,19818.0,108167064.0,1.84,化工原料,西藏,0.63,11.66,33.97,18.15,10.32,1221.0,0.0077,11.61,15.16,-7.88
9,603976,正川股份,10.01,29.23,2.66,26.23,29.23,26.23,26.57,37.87,3.93,25.88,11.29,69886.0,42522.0,27363.0,198526496.0,1.08,医疗保健,重庆,0.27,7.89,31.57,28.41,10.33,2667.0,0.0097,11.44,26.37,3.84
10,603078,DR江化微,10.01,44.4,4.04,40.4,44.4,40.05,40.36,108.32,1.11,4.14,10.78,14156.0,8706.0,5449.0,61015008.0,0.84,化工原料,江苏,0.34,15.18,37.3,43.1,10.33,864.0,0.0048,10.86,22.45,-29.42
11,300611,美力科技,10.01,13.74,1.25,12.45,13.74,12.31,12.49,71.69,1.76,9.96,11.45,67506.0,51928.0,15577.0,91642000.0,1.79,机械基件,浙江,0.68,9.31,24.59,13.58,10.32,969.0,0.0103,11.62,17.94,-17.38
12,300503,昊志机电,10.01,14.18,1.29,13.11,14.18,13.0,12.89,69.93,1.99,5.13,9.15,52901.0,42620.0,10281.0,74083360.0,2.54,机械基件,广东,1.03,14.63,35.95,14.0,10.32,799.0,0.0064,9.08,38.21,4.5
13,002192,融捷股份,10.01,31.99,2.91,29.15,31.99,28.9,29.08,0.0,2.7,8.47,10.63,161269.0,63321.0,97948.0,505081792.0,2.6,专用机械,广东,1.9,60.94,83.06,31.32,10.32,3489.0,0.0024,10.69,36.88,-16.8
14,300589,江龙船艇,10.0,26.61,2.42,23.99,26.61,23.75,24.19,0.0,2.16,32.27,11.82,107611.0,57384.0,50226.0,273572160.0,1.13,船舶,广东,0.33,8.87,29.98,25.42,10.31,2846.0,0.0113,12.04,50.51,8.97
15,603596,伯特利,10.0,28.93,2.63,28.93,28.93,28.93,26.3,34.0,4.22,0.25,0.0,1013.0,920.0,93.0,2931535.0,4.09,汽车配件,安徽,0.41,11.82,118.2,28.93,10.32,112.0,0.0022,0.0,33.07,33.07
16,300515,三德科技,10.0,12.1,1.1,10.84,12.1,10.84,11.0,103.29,1.6,5.89,11.45,53741.0,48196.0,5544.0,64549472.0,2.0,电器仪表,湖南,0.91,11.04,24.2,12.01,10.31,861.0,0.0068,11.62,21.0,-5.98
17,300375,鹏翎股份,10.0,16.61,1.51,15.16,16.61,15.07,15.1,32.97,7.79,8.79,10.2,117805.0,73507.0,44298.0,190597936.0,2.02,汽车配件,天津,1.34,22.25,33.5,16.18,10.31,2154.0,0.0041,10.22,16.32,3.68
18,300328,宜安科技,10.0,10.01,0.91,9.8,10.01,9.56,9.1,375.81,0.84,0.59,4.95,24164.0,10064.0,14099.0,23957652.0,4.6,铝,广东,4.1,41.07,46.07,9.91,10.31,177.0,0.0033,4.71,20.02,-10.47
19,300093,金刚玻璃,10.0,9.13,0.83,9.13,9.13,9.13,8.3,732.03,1.17,2.17,0.0,46718.0,41718.0,5000.0,42653928.0,2.16,玻璃,广东,2.15,19.65,19.72,9.13,10.31,671.0,0.0032,0.0,13.0,-26.73
20,002903,宇环数控,10.0,49.83,4.53,49.83,49.83,49.83,45.3,102.77,0.42,7.37,0.0,18422.0,16392.0,2029.0,91796424.0,1.0,机床制造,湖南,0.25,12.46,49.83,49.83,10.31,683.0,0.0108,0.0,50.82,22.67
21,002848,高斯贝尔,10.0,17.05,1.55,16.35,17.05,16.04,15.5,0.0,3.56,34.48,6.52,287395.0,153619.0,133775.0,481377216.0,1.67,通信设备,湖南,0.83,14.21,28.5,16.75,10.31,2137.0,0.0161,6.3,32.17,4.41
22,603978,DR深圳新,10.0,42.36,3.85,39.0,42.36,38.0,38.51,50.44,4.54,13.07,11.32,26138.0,13237.0,12901.0,108471392.0,1.6,铝,深圳,0.2,8.47,67.78,41.5,10.31,1871.0,0.007,11.47,20.58,-8.47
23,300743,天地数码,9.99,28.18,2.56,28.18,28.18,28.18,25.62,42.12,0.0,0.07,0.0,111.0,109.0,2.0,312798.0,0.65,电脑设备,浙江,0.17,4.65,18.44,28.18,10.3,27.0,0.0025,0.0,45.26,45.26
24,603882,金域医学,9.99,32.26,2.93,29.34,32.26,29.34,29.33,391.74,3.19,11.92,9.96,81863.0,43486.0,38376.0,257484672.0,4.58,医疗保健,广东,0.69,22.16,147.71,31.45,10.31,2808.0,0.0042,9.95,20.1,5.6
25,300680,隆盛科技,9.99,32.38,2.94,30.0,32.38,29.8,29.44,331.28,1.87,8.43,8.76,14334.0,9153.0,5181.0,45652664.0,0.68,汽车配件,江苏,0.17,5.5,22.02,31.85,10.3,522.0,0.0162,8.66,-11.67,-11.67
26,603322,DR超讯通,9.99,31.94,2.9,29.2,31.94,29.04,29.04,0.0,1.5,8.99,9.99,29122.0,21920.0,7201.0,91817632.0,1.12,通信设备,广东,0.32,10.35,35.77,31.53,10.3,1233.0,0.0073,9.99,21.31,-4.54
27,002410,广联达,9.98,26.55,2.41,24.5,26.55,24.29,24.14,131.12,2.51,2.59,9.36,225045.0,123324.0,101721.0,590595200.0,11.19,软件服务,北京,8.67,230.28,297.19,26.24,10.29,2400.0,0.0011,9.3,41.6,33.82
28,300555,路通视信,9.98,12.67,1.15,11.4,12.67,11.36,11.52,118.28,0.9,11.34,11.37,105231.0,53694.0,51537.0,129445400.0,2.0,通信设备,江苏,0.93,11.75,25.34,12.3,10.29,1459.0,0.0078,11.53,29.15,-5.8
29,300220,金运激光,9.98,15.98,1.45,14.61,15.98,14.52,14.53,117.84,1.35,3.48,10.05,43496.0,25412.0,18083.0,67673088.0,1.26,元器件,湖北,1.25,19.96,20.13,15.56,10.29,1027.0,0.0034,10.06,25.14,-23.1
30,002169,智光电气,9.98,5.07,0.46,5.07,5.07,5.07,4.61,74.18,2.79,1.23,0.0,81030.0,76090.0,4940.0,41082312.0,7.88,电气设备,广东,6.59,33.43,39.94,5.07,10.29,674.0,0.0018,0.0,6.51,-7.65
31,000695,滨海能源,9.98,10.14,0.92,9.21,10.14,9.21,9.22,227.2,5.93,1.86,10.09,41264.0,23363.0,17900.0,40976872.0,2.22,供气供热,天津,2.22,22.48,22.53,9.93,10.29,1388.0,0.0013,10.1,15.75,-13.55
32,002795,永和智控,9.98,19.73,1.79,19.02,19.73,18.8,17.94,129.86,2.8,41.63,5.18,265419.0,179979.0,85440.0,519703488.0,2.0,机械基件,浙江,0.64,12.58,39.46,19.58,10.29,1544.0,0.027,4.95,48.35,18.71
33,000010,美丽生态,9.97,3.53,0.32,3.2,3.53,3.2,3.21,0.0,2.04,3.59,10.28,187603.0,100317.0,87285.0,63656956.0,8.2,建筑施工,深圳,5.22,18.43,28.94,3.39,10.28,2050.0,0.0018,10.31,-19.59,-32.25
34,600812,华北制药,9.91,5.1,0.46,4.78,5.1,4.71,4.64,78.63,7.45,2.21,8.41,359594.0,171158.0,188435.0,180576704.0,16.31,化学制药,河北,16.31,83.17,83.17,5.02,10.23,3070.0,0.0007,8.28,12.58,-0.39
35,002399,海普瑞,8.8,19.53,1.58,17.95,19.68,17.81,17.95,145.03,2.98,0.68,10.42,84332.0,35462.0,48869.0,160975152.0,12.47,化学制药,深圳,12.47,243.58,243.58,19.09,9.11,2519.0,0.0003,9.66,23.3,13.02
36,002680,长生生物,8.75,26.09,2.1,24.0,26.28,23.83,23.99,40.39,1.12,4.14,10.21,166398.0,65974.0,100424.0,419375488.0,9.74,生物制药,江苏,4.01,104.74,254.04,25.2,9.06,3476.0,0.0012,9.48,106.08,92.97
37,300413,快乐购,8.62,38.05,3.02,34.95,38.48,34.3,35.03,287.4,1.43,3.97,11.93,81637.0,38960.0,42677.0,298713152.0,4.01,百货,湖南,2.06,78.26,152.58,36.59,8.93,3322.0,0.0012,10.93,20.99,39.89
38,603096,新经典,8.27,83.91,6.41,76.24,84.48,76.24,77.5,51.44,1.44,1.77,10.63,9311.0,3410.0,5901.0,75113936.0,1.35,出版业,天津,0.53,44.15,112.99,80.67,8.59,1175.0,0.0015,10.06,34.17,29.73
39,300326,凯利泰,7.63,11.0,0.78,10.22,11.24,10.22,10.22,40.28,3.06,4.66,9.98,298921.0,96632.0,202288.0,326163424.0,7.16,医疗保健,上海,6.41,70.54,78.74,10.91,7.94,3250.0,0.0014,7.63,22.77,27.46
40,300639,凯普生物,7.01,57.36,3.76,52.9,58.96,52.85,53.6,106.1,2.02,9.46,11.4,42579.0,19997.0,22581.0,240505344.0,0.91,医疗保健,广东,0.45,25.82,52.21,56.48,7.32,2291.0,0.0041,8.53,19.52,-15.55
41,300677,英科医疗,6.85,30.72,1.97,28.93,31.63,28.6,28.75,67.15,2.3,25.52,10.54,124071.0,67361.0,56709.0,375806272.0,1.96,医疗保健,山东,0.49,14.94,60.36,30.29,7.16,3091.0,0.0083,7.41,-3.03,7.26
42,603336,宏辉果蔬,6.78,29.13,1.85,27.28,29.99,26.69,27.28,65.53,1.56,29.21,12.1,154318.0,71759.0,82559.0,435326912.0,1.33,农业综合,广东,0.53,15.39,38.84,28.21,7.1,3982.0,0.0073,9.14,54.13,41.75
