,0
0,14.42
1,52.18
2,14.59
3,207.69
4,40.13
5,60.4
6,42.38
7,20.87
8,213.15
9,37.87
10,108.32
11,71.69
12,69.93
13,0.0
14,0.0
15,34.0
16,103.29
17,32.97
18,375.81
19,732.03
20,102.77
21,0.0
22,50.44
23,42.12
24,391.74
25,331.28
26,0.0
27,131.12
28,118.28
29,117.84
30,74.18
31,227.2
32,129.86
33,0.0
34,78.63
35,145.03
36,40.39
37,287.4
38,51.44
39,40.28
40,106.1
41,67.15
42,65.53
43,0.0
44,21.1
45,0.0
46,34.47
47,357.24
48,68.37
49,80.3
50,30.82
51,219.37
52,11.89
53,17.2
54,202.67
55,56.88
56,0.0
57,69.9
58,26.9
59,109.46
60,69.27
61,0.0
62,93.39
63,33.66
64,42.92
65,30.05
66,61.51
67,97.37
68,133.61
69,23.25
70,42.61
71,0.0
72,33.63
73,0.0
74,0.0
75,10.54
76,22.04
77,17.37
78,200.26
79,199.92
80,26.52
81,635.25
82,0.0
83,2.12
84,43.63
85,36.38
86,133.12
87,47.6
88,0.0
89,56.16
90,11.73
91,46.67
92,56.74
93,103.5
94,0.0
95,147.5
96,59.09
97,51.8
98,154.51
99,40.32
100,66.17
101,90.41
102,25.36
103,7.61
104,293.07
105,1672.65
106,17.49
107,32.31
108,42.36
109,38.04
110,78.95
111,38.4
112,179.65
113,29.45
114,94.02
115,39.72
116,31.6
117,316.72
118,87.9
119,46.37
120,38.48
121,42.27
122,43.28
123,19.16
124,559.57
125,0.0
126,15.78
127,100.66
128,51.55
129,36.27
130,0.0
131,196.71
132,17.58
133,45.09
134,13.19
135,23.01
136,164.49
137,23.72
138,42.83
139,25.72
140,39.23
141,38.09
142,17.9
143,0.0
144,236.14
145,83.04
146,32.8
147,106.04
148,58.4
149,139.36
150,15.97
151,28.88
152,198.45
153,65.25
154,26.13
155,39.42
156,210.55
157,18.66
158,64.27
159,169.6
160,77.26
161,415.83
162,50.6
163,41.1
164,91.62
165,54.36
166,59.6
167,76.89
168,24.95
169,17.86
170,21.77
171,51.1
172,57.27
173,0.0
174,0.0
175,0.0
176,47.02
177,36.89
178,105.04
179,47.6
180,41.65
181,15.68
182,17.7
183,16.57
184,51.44
185,46.13
186,147.4
187,29.58
188,10.32
189,9.8
190,36.83
191,186.44
192,34.38
193,1075.71
194,27.64
195,13.95
196,0.0
197,9.49
198,34.15
199,33.81
200,13.17
201,17.25
202,264.19
203,98.24
204,29.57
205,59.69
206,21.46
207,68.94
208,45.23
209,38.75
210,179.92
211,9.59
212,0.0
213,122.04
214,11.02
215,102.85
216,49.65
217,75.75
218,7.41
219,0.0
220,21.64
221,19.17
222,37.94
223,29.2
224,29.28
225,82.78
226,34.85
227,237.69
228,26.86
229,56.76
230,33.91
231,139.62
232,33.34
233,51.1
234,28.73
235,52.92
236,52.36
237,29.89
238,43.17
239,0.0
240,33.9
241,0.0
242,39.15
243,15.63
244,30.18
245,28.67
246,66.65
247,20.36
248,116.01
249,178.73
250,0.0
251,25.3
252,57.76
253,23.77
254,38.94
255,119.73
256,56.15
257,24.15
258,122.88
259,0.0
260,31.35
261,51.62
262,38.21
263,71.88
264,88.44
265,63.9
266,40.33
267,39.95
268,26.08
269,66.14
270,25.58
271,33.57
272,98.21
273,30.54
274,66.09
275,71.75
276,67.87
277,22.3
278,64.64
279,57.2
280,34.38
281,71.2
282,32.94
283,24.53
284,111.57
285,23.63
286,57.29
287,13.12
288,48.8
289,27.31
290,18.49
291,22.71
292,21.74
293,250.43
294,13.8
295,60.24
296,104.72
297,10.46
298,68.19
299,64.59
300,16.78
301,83.56
302,381.8
303,17.74
304,120.13
305,62.4
306,16.07
307,0.0
308,29.28
309,68.9
310,60.07
311,0.0
312,22.41
313,799.62
314,39.23
315,39.11
316,108.41
317,0.0
318,569.67
319,41.52
320,28.7
321,0.0
322,208.37
323,0.0
324,56.94
325,77.63
326,21.92
327,136.73
328,47.3
329,20.65
330,0.0
331,50.38
332,12.22
333,127.74
334,204.46
335,61.44
336,20.0
337,38.98
338,0.0
339,13.82
340,21.46
341,40.13
342,44.43
343,69.22
344,26.75
345,95.73
346,20.65
347,14.75
348,24.68
349,27.12
350,46.32
351,37.86
352,155.06
353,38.19
354,6.01
355,0.0
356,0.0
357,27.03
358,61.1
359,21.42
360,28.18
361,152.44
362,246.17
363,0.0
364,11.71
365,34.46
366,18.19
367,9.66
368,188.58
369,18.71
370,13.35
371,34.85
372,38.28
373,154.63
374,80.39
375,14.37
376,74.39
377,34.21
378,32.96
379,29.65
380,106.7
381,31.13
382,7.91
383,110.74
384,17.16
385,11.46
386,54.56
387,42.56
388,25.97
389,55.06
390,40.05
391,11.27
392,449.13
393,9.96
394,12.37
395,23.33
396,0.0
397,33.66
398,19.12
399,10.01
400,40.65
401,26.91
402,23.35
403,44.23
404,21.47
405,35.54
406,123.39
407,13.3
408,52.46
409,0.0
410,0.0
411,13.39
412,30.71
413,27.88
414,22.84
415,29.73
416,0.0
417,60.45
418,24.58
419,80.02
420,36.07
421,38.71
422,11.37
423,336.64
424,42.59
425,60.86
426,29.5
427,122.36
428,13695.0
429,26.26
430,3436.79
431,376.09
432,67.73
433,21.59
434,25.66
435,285.68
436,17.12
437,10.37
438,33.32
439,14.61
440,0.0
441,136.21
442,0.0
443,72.29
444,92.26
445,96.02
446,22.4
447,51.3
448,30.77
449,13.44
450,50.18
451,54.37
452,39.24
453,8.15
454,0.0
455,404.69
456,31.66
457,36.86
458,0.0
459,29.94
460,24.32
461,0.0
462,476.19
463,69.88
464,53.24
465,17.49
466,46.34
467,46.1
468,32.64
469,37.98
470,30.34
471,118.07
472,23.19
473,43.19
474,157.62
475,46.57
476,0.0
477,102.39
478,39.19
479,0.0
480,0.0
481,0.0
482,6.59
483,160.58
484,100.57
485,526.27
486,118.2
487,455.03
488,33.75
489,182.97
490,70.22
491,23.6
492,12.07
493,106.01
494,86.67
495,0.0
496,267.31
497,19.96
498,22.04
499,25.28
500,71.94
501,0.0
502,16.5
503,84.64
504,18.62
505,11.68
506,33.14
507,0.0
508,52.4
509,90.39
510,30.13
511,32.8
512,54.08
513,21.27
514,59.9
515,29.2
516,343.67
517,108.32
518,84.06
519,51.14
520,0.0
521,17.87
522,29.15
523,38.7
524,204.45
525,328.42
526,9.64
527,57.35
528,179.72
529,77.7
530,188.41
531,242.01
532,70.08
533,24.01
534,35.97
535,44.98
536,28.43
537,93.52
538,140.46
539,7.55
540,49.7
541,37.28
542,132.57
543,0.0
544,30.91
545,1327.95
546,56.38
547,11.26
548,57.2
549,13.19
550,14.78
551,20.94
552,0.0
553,0.0
554,307.46
555,58.86
556,75.1
557,63.44
558,131.07
559,156.06
560,0.0
561,51.56
562,161.5
563,81.12
564,37.39
565,25.73
566,48.8
567,0.0
568,116.12
569,39.69
570,0.0
571,30.34
572,203.73
573,139.54
574,36.56
575,0.0
576,3.65
577,0.0
578,79.63
579,0.0
580,62.6
581,27.41
582,21.1
583,83.48
584,9.39
585,47.0
586,0.0
587,80.21
588,148.31
589,11.45
590,44.31
591,181.65
592,83.36
593,10.42
594,39.15
595,44.04
596,129.6
597,42.61
598,94.25
599,63.81
600,8.02
601,8.3
602,17.92
603,0.0
604,41.0
605,6.27
606,20.07
607,22.87
608,15.01
609,73.32
610,51.27
611,24.77
612,0.0
613,43.68
614,325.39
615,31.38
616,55.24
617,57.57
618,93.53
619,181.29
620,0.0
621,27.62
622,38.19
623,58.97
624,291.21
625,14.1
626,32.84
627,120.26
628,71.61
629,107.19
630,0.0
631,28.67
632,63.66
633,64.05
634,0.0
635,18.64
636,487.15
637,64.39
638,10.16
639,0.0
640,28.53
641,0.0
642,82.86
643,38.91
644,43.63
645,29.84
646,25.45
647,0.0
648,52.56
649,298.88
650,28.44
651,36.21
652,0.0
653,48.09
654,0.0
655,43.39
656,98.4
657,885.6
658,11.34
659,51.46
660,17.74
661,79.41
662,47.27
663,11.9
664,19.96
665,18.83
666,8.51
667,45.71
668,22.86
669,27.43
670,61.24
671,20.48
672,16.35
673,63.11
674,9.12
675,58.67
676,22.15
677,1283.51
678,0.0
679,25.4
680,60.1
681,6.48
682,41.23
683,0.0
684,15.15
685,11.02
686,14.13
687,46.57
688,33.59
689,15.05
690,25.49
691,46.54
692,46.83
693,0.0
694,49.26
695,8.92
696,0.0
697,1011.99
698,0.0
699,10.05
700,84.35
701,3858.01
702,260.16
703,0.0
704,46.06
705,102.84
706,28.37
707,19.0
708,88.76
709,46.64
710,58.33
711,0.0
712,41.69
713,16.64
714,1170.38
715,18.55
716,59.52
717,59.14
718,24.02
719,0.0
720,22.01
721,317.1
722,21.78
723,28.79
724,0.0
725,288.79
726,22.52
727,27.16
728,139.71
729,36.47
730,0.0
731,27.64
732,25.37
733,14.25
734,0.0
735,25.1
736,26.47
737,43.81
738,105.48
739,13.88
740,61.87
741,242.14
742,17.03
743,11.96
744,41.07
745,133.7
746,28.46
747,32.86
748,21.24
749,29.35
750,39.49
751,47.44
752,0.0
753,17.88
754,53.17
755,0.0
756,8.2
757,9.54
758,30.98
759,243.37
760,16.47
761,130.93
762,164.7
763,0.0
764,36.62
765,35.87
766,20.11
767,27.69
768,0.0
769,0.0
770,15.82
771,0.0
772,22.15
773,48.56
774,0.0
775,13.38
776,224.91
777,0.0
778,328.75
779,0.0
780,4.64
781,59.13
782,0.0
783,0.0
784,0.0
785,24.18
786,55.63
787,0.0
788,17.11
789,35.03
790,73.71
791,27.29
792,10.47
793,176.44
794,20.34
795,31.25
796,28.3
797,0.0
798,18.71
799,0.0
800,17.58
801,60.4
802,38.13
803,38.52
804,25.01
805,44.84
806,11.58
807,9.98
808,21.29
809,19.33
810,75.84
811,0.0
812,0.0
813,58.17
814,253.18
815,27.84
816,46.35
817,53.75
818,23.59
819,24.11
820,80.39
821,27.67
822,26.43
823,14.33
824,70.04
825,21.44
826,191.97
827,61.18
828,0.0
829,23.06
830,214.82
831,24.98
832,37.95
833,18.01
834,16.03
835,146.1
836,40.8
837,46.19
838,0.0
839,903.14
840,19.81
841,0.0
842,42.43
843,44.17
844,49.97
845,33.1
846,10.34
847,0.0
848,0.0
849,13.62
850,208.77
851,34.75
852,107.6
853,20.83
854,62.07
855,0.0
856,18.87
857,25.92
858,17.47
859,54.18
860,32.13
861,137.17
862,136.04
863,17.53
864,78.04
865,33.67
866,0.0
867,19.83
868,0.0
869,13.76
870,18.37
871,0.0
872,32.4
873,86.01
874,13.78
875,67.33
876,31.58
877,0.0
878,71.5
879,8.68
880,0.0
881,43.98
882,33.33
883,25.07
884,89.15
885,23.57
886,30.81
887,85.57
888,89.37
889,5595.31
890,38.62
891,153.44
892,33.85
893,44.44
894,25.82
895,219.22
896,316.63
897,56.76
898,26.89
899,0.0
900,7.07
901,20.08
902,34.96
903,44.26
904,79.06
905,14.03
906,0.0
907,0.0
908,38.96
909,32.87
910,34.67
911,109.08
912,31.87
913,11.87
914,13.94
915,21.56
916,28.02
917,604.45
918,26.75
919,0.0
920,0.0
921,84.98
922,24.05
923,18.05
924,18.06
925,684.66
926,36.26
927,0.0
928,45.9
929,19.67
930,66.19
931,56.8
932,32.9
933,120.57
934,24.09
935,24.05
936,38.89
937,56.91
938,38.96
939,39.83
940,95.35
941,57.95
942,11.75
943,14.66
944,31.08
945,85.88
946,24.76
947,224.1
948,11.9
949,13.42
950,131.98
951,15.53
952,0.0
953,20.93
954,17.91
955,0.0
956,26.04
957,20.02
958,66.5
959,0.0
960,219.24
961,202.48
962,36.21
963,116.07
964,0.0
965,122.56
966,576.25
967,345.46
968,0.0
969,84.18
970,25.43
971,185.26
972,931.1
973,0.0
974,14.88
975,0.0
976,0.0
977,73.91
978,16.95
979,21.63
980,6.83
981,72.56
982,11.03
983,88.65
984,557.58
985,32.43
986,8.23
987,21.73
988,22.55
989,0.0
990,57.68
991,31.67
992,51.67
993,186.07
994,713.51
995,14.43
996,72.75
997,11.66
998,0.0
999,267.58
1000,58.13
1001,0.0
1002,0.0
1003,37.89
1004,566.02
1005,430.39
1006,69.59
1007,770.53
1008,336.21
1009,24.28
1010,1516.9
1011,163.89
1012,66.17
1013,56.16
1014,140.67
1015,40.82
1016,31.66
1017,24.22
1018,57.39
1019,51.46
1020,20.12
1021,86.19
1022,0.0
1023,20.96
1024,29.37
1025,18.39
1026,0.0
1027,38.3
1028,0.0
1029,31.21
1030,14.69
1031,53.86
1032,17.81
1033,59.95
1034,0.0
1035,30.5
1036,0.0
1037,131.91
1038,22.08
1039,56.03
1040,35.75
1041,14.58
1042,70.55
1043,3044.07
1044,3322.42
1045,12.46
1046,38.25
1047,29.94
1048,11.53
1049,33.37
1050,40.05
1051,39.55
1052,69.07
1053,19.0
1054,20.73
1055,18.33
1056,70.99
1057,8.42
1058,39.41
1059,15.21
1060,59.66
1061,25.6
1062,144.27
1063,0.0
1064,19.43
1065,20.69
1066,33.83
1067,68.56
1068,24.05
1069,31.98
1070,9.03
1071,179.96
1072,0.0
1073,17.68
1074,44.06
1075,4.77
1076,34.65
1077,13.78
1078,182.61
1079,0.0
1080,0.0
1081,86.3
1082,6.98
1083,0.0
1084,56.16
1085,47.88
1086,0.0
1087,20.43
1088,253.77
1089,10.67
1090,104.85
1091,27.97
1092,45.62
1093,37.83
1094,0.0
1095,12.42
1096,22.7
1097,41.96
1098,24.56
1099,29.31
1100,66.57
1101,17.34
1102,917.71
1103,87.08
1104,106.95
1105,16.56
1106,48.24
1107,42.73
1108,233.81
1109,98.42
1110,17.69
1111,924.82
1112,15.96
1113,228.46
1114,189.08
1115,0.0
1116,33.72
1117,145.67
1118,34.05
1119,146.25
1120,0.0
1121,33.48
1122,8.1
1123,20.04
1124,37.02
1125,0.0
1126,13.69
1127,56.02
1128,27.92
1129,12.36
1130,30.57
1131,69.27
1132,40.49
1133,0.0
1134,269.63
1135,0.0
1136,0.0
1137,0.0
1138,40.29
1139,42.92
1140,179.26
1141,226.29
1142,92.14
1143,19.13
1144,32.4
1145,46.81
1146,1196.7
1147,65.11
1148,85.54
1149,199.5
1150,32.76
1151,111.21
1152,29.2
1153,21.95
1154,0.0
1155,6.11
1156,9.24
1157,86.21
1158,0.0
1159,0.0
1160,75.0
1161,148.84
1162,0.0
1163,314.36
1164,7.3
1165,28.6
1166,31.77
1167,0.0
1168,210.52
1169,0.0
1170,31.94
1171,0.0
1172,58.54
1173,182.59
1174,24.93
1175,47.57
1176,11.3
1177,12.41
1178,292.89
1179,8.42
1180,233.5
1181,517.28
1182,250.52
1183,17.11
1184,6.19
1185,0.0
1186,0.0
1187,22.67
1188,193.5
1189,0.0
1190,35.16
1191,27.85
1192,163.6
1193,76.7
1194,35.91
1195,16.73
1196,24.12
1197,48.54
1198,49.72
1199,30.74
1200,128.56
1201,11.37
1202,39.02
1203,72.33
1204,19.7
1205,40.34
1206,16.91
1207,350.31
1208,26.36
1209,0.0
1210,88.37
1211,15.08
1212,132.33
1213,0.0
1214,159.15
1215,0.0
1216,39.09
1217,17.28
1218,102.33
1219,35.78
1220,67.6
1221,51.69
1222,43.48
1223,27.01
1224,102.84
1225,35.95
1226,34.46
1227,71.38
1228,31.45
1229,0.0
1230,157.51
1231,13.18
1232,19.46
1233,51.69
1234,0.0
1235,42.74
1236,13.71
1237,0.0
1238,23.52
1239,24.67
1240,97.05
1241,57.99
1242,0.0
1243,11.49
1244,404.21
1245,14.47
1246,158.1
1247,54.47
1248,38.22
1249,52.92
1250,32.54
1251,25.85
1252,137.71
1253,0.0
1254,67.94
1255,43.85
1256,26.24
1257,95.21
1258,19.41
1259,18.29
1260,96.03
1261,229.5
1262,27.23
1263,60.45
1264,60.05
1265,289.85
1266,89.38
1267,374.74
1268,53.91
1269,46.21
1270,46.63
1271,50.49
1272,60.94
1273,330.81
1274,75.82
1275,58.18
1276,430.21
1277,33.45
1278,473.66
1279,67.58
1280,0.0
1281,85.19
1282,39.2
1283,29.27
1284,25.47
1285,106.0
1286,17.58
1287,0.0
1288,155.37
1289,249.35
1290,86.68
1291,14.39
1292,0.0
1293,40.03
1294,71.45
1295,36.57
1296,21.01
1297,26.13
1298,34.71
1299,15.01
1300,13.11
1301,40.9
1302,77.25
1303,31.68
1304,0.0
1305,130.06
1306,11.65
1307,278.43
1308,15.82
1309,23.87
1310,7.45
1311,17.76
1312,123.54
1313,101.16
1314,14.19
1315,29.22
1316,0.0
1317,52.26
1318,0.0
1319,11.84
1320,44.64
1321,9.94
1322,64.92
1323,1071.33
1324,55.39
1325,238.03
1326,0.0
1327,16.35
1328,0.0
1329,11.63
1330,53.33
1331,0.0
1332,0.0
1333,1716.86
1334,20.84
1335,0.0
1336,66.16
1337,35.15
1338,100.81
1339,0.0
1340,156.81
1341,11.65
1342,24.86
1343,4.51
1344,6475.24
1345,6.31
1346,21.06
1347,51.23
1348,0.0
1349,68.93
1350,154.41
1351,0.0
1352,18.86
1353,0.0
1354,51.28
1355,47.56
1356,0.0
1357,0.0
1358,59.6
1359,0.0
1360,0.0
1361,0.0
1362,79.49
1363,24.17
1364,16.57
1365,263.61
1366,13.43
1367,181.0
1368,12.91
1369,75.71
1370,7.02
1371,15.79
1372,0.0
1373,0.0
1374,122.59
1375,2806.06
1376,0.0
1377,0.0
1378,17.02
1379,60.44
1380,0.0
1381,10.21
1382,36.28
1383,926.79
1384,0.0
1385,55.72
1386,11.42
1387,7.8
1388,27.05
1389,5822.57
1390,179.18
1391,0.0
1392,47.87
1393,0.0
1394,57.74
1395,0.0
1396,0.0
1397,24.88
1398,0.0
1399,200.69
1400,11.85
1401,450.22
1402,0.0
1403,68.79
1404,21.02
1405,19.22
1406,96.45
1407,0.0
1408,44.34
1409,8.9
1410,67.66
1411,61.6
1412,126.81
1413,0.0
1414,110.24
1415,81.45
1416,120.54
1417,0.0
1418,0.0
1419,84.8
1420,24.37
1421,154.17
1422,43.04
1423,84.69
1424,98.44
1425,32.03
1426,0.0
1427,104.21
1428,923.19
1429,166.35
1430,69.09
1431,167.44
1432,114.0
1433,1145.45
1434,80.45
1435,168.52
1436,232.48
1437,87.14
1438,82.42
1439,112.3
1440,16.39
1441,56.11
1442,385.46
1443,60.2
1444,0.0
1445,98.41
1446,42.68
1447,26.07
1448,218.78
1449,0.0
1450,86.78
1451,17.63
1452,42.37
1453,0.0
1454,36.82
1455,0.0
1456,0.0
1457,24.85
1458,38.6
1459,0.0
1460,70.9
1461,0.0
1462,68.48
1463,50.42
1464,28.26
1465,140.06
1466,24.71
1467,24.06
1468,34.65
1469,36.44
1470,87.03
1471,36.03
1472,32.78
1473,25.79
1474,654.64
1475,81.13
1476,72.32
1477,15.18
1478,245.63
1479,265.3
1480,32.06
1481,39.8
1482,72.98
1483,101.57
1484,0.0
1485,39.6
1486,36.06
1487,28.15
1488,246.29
1489,26.14
1490,24.58
1491,31.85
1492,27.52
1493,24.78
1494,0.0
1495,133.47
1496,0.0
1497,45.96
1498,31.2
1499,23.53
1500,52.01
1501,122.44
1502,24.23
1503,103.41
1504,0.0
1505,142.93
1506,56.62
1507,115.0
1508,29.96
1509,0.0
1510,40.06
1511,0.0
1512,0.0
1513,0.0
1514,68.04
1515,0.0
1516,33.23
1517,159.93
1518,127.01
1519,106.32
1520,0.0
1521,69.88
1522,156.34
1523,18.34
1524,18.08
1525,0.0
1526,0.0
1527,45.37
1528,60.14
1529,0.0
1530,98.23
1531,89.93
1532,19.26
1533,98.19
1534,47.0
1535,443.49
1536,114.2
1537,31.56
1538,90.05
1539,34.93
1540,0.0
1541,0.0
1542,0.0
1543,19.89
1544,30.97
1545,53.65
1546,166.79
1547,36.41
1548,640.22
1549,16.25
1550,0.0
1551,17.16
1552,0.0
1553,505.03
1554,84.05
1555,63.38
1556,8.93
1557,11.37
1558,0.0
1559,9.4
1560,0.0
1561,219.27
1562,108.06
1563,0.0
1564,95.22
1565,32.22
1566,24.9
1567,5.85
1568,32.67
1569,75.56
1570,92.86
1571,198.59
1572,1142.15
1573,56.21
1574,29.14
1575,59.07
1576,31.02
1577,17.92
1578,64.9
1579,34.83
1580,0.0
1581,27.8
1582,0.0
1583,9.2
1584,30.32
1585,0.0
1586,23.97
1587,0.0
1588,0.0
1589,0.0
1590,33.27
1591,28.87
1592,0.0
1593,137.9
1594,75.65
1595,59.51
1596,38.41
1597,12.34
1598,0.0
1599,193.95
1600,225.37
1601,110.65
1602,0.0
1603,0.0
1604,12.87
1605,16.65
1606,0.0
1607,56.65
1608,27.8
1609,21.88
1610,26.3
1611,101.3
1612,19.45
1613,55.16
1614,0.0
1615,46.52
1616,98.3
1617,31.7
1618,0.0
