code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000908,景峰医药,化学制药,湖南,39.15,5.51,8.8,519593.91,299628.31,69664.06,73096.36,0.83,0.117,2.63,2.32,19990203,108590.86,1.23,-3.39,-38.41,75.05,7.39,25389.0
600354,敦煌种业,种植业,甘肃,26.84,4.48,5.28,270930.78,165558.77,54162.93,90230.86,1.71,0.235,1.93,4.36,20040115,-44267.8,-0.84,-5.76,170.42,-10.29,61.38,63725.0
000852,石化机械,化工机械,湖北,639.86,5.98,5.98,699699.06,542522.56,130749.72,98809.59,1.65,0.016,2.94,3.42,19981126,-1570.87,-0.03,15.96,101.14,20.27,0.24,49856.0
600929,湖南盐业,食品,湖南,59.91,1.5,9.18,310491.63,78859.31,139873.81,24281.5,0.26,0.174,2.35,4.43,20180326,71625.13,0.78,1.3,15.06,47.71,7.24,140295.0
000019,深深宝Ａ,软饮料,深圳,0.0,4.16,4.97,113233.67,57844.8,31870.65,36717.2,0.74,-0.053,1.96,6.82,19921012,5558.12,0.11,1.93,4.25,23.74,-11.44,73914.0
002848,高斯贝尔,通信设备,湖南,264.21,0.83,1.67,130605.22,106262.07,12566.7,7380.95,0.44,0.042,3.64,4.06,20170213,34226.55,2.05,2.79,-79.61,22.16,0.93,17355.0
000790,泰合健康,中成药,四川,22.85,4.3,4.31,132605.77,102912.13,23925.25,3958.06,0.09,0.398,1.95,4.68,19980327,26765.95,0.62,2.74,108.09,52.63,29.05,44652.0
002112,三变科技,电气设备,浙江,0.0,1.83,2.02,118925.11,82502.88,20216.7,8691.46,0.43,-0.271,2.24,4.71,20070208,12680.44,0.63,-4.19,-393.12,11.93,-14.66,15720.0
600721,百花村,生物制药,新疆,46.3,3.03,4.0,275831.75,65173.55,11087.35,232218.2,5.8,0.174,5.88,1.83,19960626,-37280.15,-0.93,-21.98,-34.41,37.93,21.56,12537.0
002012,凯恩股份,造纸,浙江,117.31,4.68,4.68,177738.52,96537.03,56808.78,27219.95,0.58,0.065,2.59,2.97,20040705,39898.01,0.85,9.1,252.33,24.47,2.98,21611.0
000153,丰原药业,化学制药,安徽,35.47,3.12,3.17,274516.63,146790.27,81265.57,47792.53,1.51,0.19,3.86,2.33,20000920,30704.34,0.97,32.6,40.11,27.23,3.37,35675.0
300504,天邑股份,通信设备,四川,29.12,0.67,2.67,196783.86,0.0,0.0,0.0,0.0,0.86,4.23,5.92,20180330,0.0,0.0,31.67,51.32,0.0,9.76,126696.0
300452,山河药辅,化学制药,安徽,53.83,0.42,0.93,63151.23,37576.51,13037.46,12813.41,1.38,0.367,4.76,5.53,20150515,19389.65,2.09,12.16,-5.22,31.08,14.91,9981.0
300723,一品红,化学制药,广东,49.46,0.4,1.6,80522.63,45895.98,15955.37,5294.9,0.33,0.688,7.01,6.47,20171116,26448.46,1.65,0.0,0.0,55.82,10.61,21762.0
000813,德展健康,化学制药,新疆,24.78,10.81,22.41,457769.19,392299.59,30516.31,71024.11,0.32,0.283,1.96,4.77,19980519,270534.25,1.21,29.09,21.85,87.69,46.51,21773.0
300341,麦迪电气,电气设备,福建,41.51,3.71,5.1,123407.32,80978.38,22206.56,8155.86,0.16,0.171,2.06,4.6,20120726,39282.62,0.77,10.92,23.83,41.49,15.19,17848.0
603214,爱婴室,百货,上海,40.86,0.25,1.0,76961.15,61297.16,7078.72,2911.81,0.29,0.936,4.99,7.66,20180330,25456.17,2.55,14.06,26.47,28.41,5.18,26639.0
300727,润禾材料,化工原料,浙江,91.0,0.24,0.98,43196.92,25291.61,12968.0,10365.67,1.06,0.355,4.76,9.05,20171127,8362.07,0.86,0.0,0.0,29.56,10.75,50562.0
603336,宏辉果蔬,农业综合,广东,69.89,0.53,1.33,80048.56,63257.68,11486.66,28924.35,2.17,0.475,5.83,5.69,20161124,33612.6,2.52,1.18,4.47,16.93,9.25,18202.0
002900,哈三联,化学制药,黑龙江,42.11,0.53,2.11,218330.45,136798.06,68109.99,116598.36,5.52,0.8,8.7,3.85,20170922,34533.82,1.64,0.0,0.0,68.8,18.87,50263.0
300598,诚迈科技,软件服务,江苏,114.72,0.48,0.8,50291.42,41482.05,697.02,17531.67,2.19,0.31,5.42,8.37,20170120,16234.65,2.03,-4.56,-27.72,31.95,6.5,9562.0
603080,新疆火炬,供气供热,新疆,79.48,0.36,1.42,61963.46,18803.98,25854.02,8874.42,0.63,0.35,4.65,7.97,20180103,27681.71,1.96,0.0,0.0,41.34,22.88,35780.0
300354,东华测试,电器仪表,江苏,1077.52,0.73,1.38,38470.78,24574.52,6375.35,11112.37,0.8,0.01,2.5,5.72,20120920,7954.55,0.57,2.32,20.28,57.73,1.66,9942.0
