,esp
0,0.117
1,0.235
2,0.016
3,0.174
4,-0.053
5,0.042
6,0.398
7,-0.271
8,0.174
9,0.065
10,0.19
11,0.86
12,0.367
13,0.688
14,0.283
15,0.171
16,0.936
17,0.355
18,0.475
19,0.8
20,0.31
21,0.35
22,0.01
23,0.72
24,0.381
25,0.86
26,1.26
27,0.771
28,0.72
29,0.657
30,0.469
31,0.37
32,0.26
33,0.167
34,0.538
35,0.61
36,-0.027
37,0.078
38,0.049
39,0.47
40,0.347
41,0.382
42,0.365
43,0.73
44,0.329
45,0.71
46,1.27
47,0.342
48,0.439
49,0.45
50,0.13
51,0.43
52,0.582
53,0.225
54,0.191
55,0.23
56,0.536
57,0.2
58,-0.024
59,0.291
60,0.044
61,0.92
62,0.034
63,4.67
64,0.92
65,0.051
66,0.95
67,0.8
68,0.148
69,0.93
70,3.704
71,0.461
72,0.262
73,0.142
74,0.618
75,0.48
76,0.159
77,0.239
78,0.05
79,0.155
80,0.46
81,0.129
82,0.45
83,0.201
84,0.34
85,0.107
86,0.46
87,0.29
88,0.392
89,0.032
90,1.636
91,-0.135
92,0.18
93,0.532
94,0.146
95,0.67
96,0.557
97,0.629
98,0.533
99,0.283
100,0.11
101,0.95
102,0.312
103,0.996
104,0.47
105,0.58
106,0.742
107,0.57
108,0.53
109,0.58
110,0.498
111,0.657
112,-0.04
113,0.002
114,0.228
115,0.536
116,0.42
117,0.88
118,0.62
119,0.011
120,2.169
121,0.019
122,0.043
123,0.178
124,0.183
125,0.59
126,0.032
127,0.483
128,0.544
129,0.76
130,1.01
131,0.79
132,1.309
133,0.812
134,0.854
135,0.69
136,-0.012
137,0.64
138,0.446
139,0.445
140,0.57
141,0.058
142,0.17
143,1.082
144,-0.355
145,1.835
146,0.74
147,0.07
148,0.042
149,3.49
150,1.04
151,-0.38
152,0.001
153,-0.045
154,2.382
155,0.3
156,-0.17
157,0.002
158,0.31
159,0.567
160,0.487
161,2.147
162,0.18
163,2.471
164,0.023
165,0.006
166,0.542
167,0.205
168,0.703
169,1.837
170,-0.267
171,0.519
172,0.089
173,-0.202
174,0.616
175,0.11
176,0.441
177,0.48
178,0.212
179,0.39
180,0.044
181,0.069
182,0.711
183,0.336
184,0.321
185,0.035
186,0.396
187,0.521
188,0.31
189,0.93
190,0.309
191,-0.001
192,0.08
193,0.266
194,0.56
195,0.893
196,0.718
197,0.092
198,0.76
199,0.77
200,0.92
201,0.72
202,0.108
203,1.48
204,0.8
205,0.39
206,0.44
207,0.388
208,0.064
209,0.332
210,0.801
211,-0.647
212,0.155
213,0.241
